date,quantity
2019-09-01,21050
2019-10-01,34121
2019-11-01,30100
2019-12-01,52396
2020-01-01,35979
2020-02-01,33209
2020-03-01,51330
2020-04-01,43715
2020-05-01,45012
2020-06-01,88313
2020-07-01,86007
2020-08-01,79449
2020-09-01,75733
2020-10-01,88805
2020-11-01,84784
2020-12-01,107079
2021-01-01,90663
2021-02-01,87892
2021-03-01,106013
2021-04-01,98398
2021-05-01,99696
2021-06-01,142996
2021-07-01,140690
2021-08-01,134132
2021-09-01,130416
2021-10-01,143488
2021-11-01,139467
2021-12-01,161762
2022-01-01,145346
2022-02-01,142575
2022-03-01,160696
2022-04-01,153081
2022-05-01,154379
2022-06-01,197680
2022-07-01,195373
2022-08-01,188816
2022-09-01,185099
2022-10-01,198171
2022-11-01,194150
